,player,team,opponent,market,line,book,bet_side,bet_odds,predicted_score,season_avg,avg_last_10,over_rate_last_10,edge_last_10,avg_last_7,over_rate_last_7,edge_last_7,over_prob,over_odds,under_prob,under_odds,ml_prob_over,ml_prob_pct,ml_conf_tier,ml_odds_over,unified_side,unified_pick,kelly_full,kelly_half,confidence_pct,game_time
325,Kentavious Caldwell-Pope,MEM,SAS,assists,0.5,PrizePicks,Over,-500,2.35,1.84,2.6,0.83,2.1,2.86,0.89,2.36,0.833,-500,0.167,500,0.261,26.1,RED (Low),282,Pass,Pass (Hist Over vs ML Under),,,90,2025-12-03T01:10:00.000Z
461,Shaedon Sharpe,POR,TOR,fs,26.5,PrizePicks,Over,-300,30.29,24.08,34.65,0.75,8.15,34.01,0.67,7.51,0.75,-300,0.25,300,0.518,51.8,RED (Low),-107,Pass,Pass (ML near 50/50),,,85,2025-12-03T00:40:00.000Z
238,Jaylin Williams,OKC,GSW,points,0.5,PrizePicks,Over,-300,6.16,5.19,6.7,0.75,6.2,7,0.78,6.5,0.75,-300,0.25,300,0.402,40.2,RED (Low),149,Pass,Pass (Disagree: Hist Over vs ML Under),,,85,2025-12-03T04:10:00.000Z
158,Gradey Dick,TOR,POR,points,1.5,PrizePicks,Over,-300,7.17,10.55,5.3,0.75,3.8,4.14,0.67,2.64,0.75,-300,0.25,300,0.398,39.8,RED (Low),151,Pass,Pass (Disagree: Hist Over vs ML Under),,,85,2025-12-03T00:40:00.000Z
354,Mikal Bridges,NYK,BOS,fs,31.5,PrizePicks,Over,-300,34.52,27.9,39.1,0.75,7.6,38.6,0.78,7.1,0.75,-300,0.25,300,0.529,52.9,RED (Low),-112,Pass,Pass (ML near 50/50),,,83.6,2025-12-03T01:10:00.000Z
272,Jordan Walsh,BOS,NYK,fs,15.5,PrizePicks,No clear edge,N/A,15.04,7.36,20.77,0.67,5.27,18.91,0.56,3.41,0.667,-200,0.333,200,0.543,54.3,RED (Low),-119,Pass,Pass (ML near 50/50),,,80,2025-12-03T01:10:00.000Z
176,Isaiah Joe,OKC,GSW,points,9.5,PrizePicks,Over,-200,10.1,7.85,11.9,0.67,2.4,11,0.67,1.5,0.667,-200,0.333,200,0.308,30.8,RED (Low),225,Pass,Pass (Hist Over vs ML Under),,,80,2025-12-03T04:10:00.000Z
326,Kentavious Caldwell-Pope,MEM,SAS,rebounds,0.5,PrizePicks,Over,-200,2.34,2.96,1.9,0.67,1.4,2,0.67,1.5,0.667,-200,0.333,200,0.347,34.7,RED (Low),188,Pass,Pass (Hist Over vs ML Under),,,80,2025-12-03T01:10:00.000Z
157,Gradey Dick,TOR,POR,assists,0.5,PrizePicks,Over,-200,1.15,1.34,1.1,0.67,0.6,0.86,0.56,0.36,0.667,-200,0.333,200,0.266,26.6,RED (Low),276,Pass,Pass (Hist Over vs ML Under),,,80,2025-12-03T00:40:00.000Z
449,Santi Aldama,MEM,SAS,fs,27.5,PrizePicks,Over,-300,28.79,22.28,33.09,0.75,5.59,33.23,0.67,5.73,0.75,-300,0.25,300,0.52,52,RED (Low),-108,Pass,Pass (ML near 50/50),,,77.5,2025-12-03T01:10:00.000Z
2,Aaron Wiggins,OKC,GSW,points,10.5,PrizePicks,Over,-140,11.77,8.76,13.8,0.58,3.3,13.71,0.67,3.21,0.583,-140,0.417,140,0.291,29.1,RED (Low),244,Pass,Pass (Hist Over vs ML Under),,,75,2025-12-03T04:10:00.000Z
390,Neemias Queta,BOS,NYK,fs,25.5,PrizePicks,Under,300,23.77,14.54,29.79,0.75,4.29,30.17,0.78,4.67,0.75,-300,0.25,300,0.509,50.9,RED (Low),-104,Pass,Pass (ML near 50/50),,,71.9,2025-12-03T01:10:00.000Z
1,Aaron Wiggins,OKC,GSW,fs,18.5,PrizePicks,Over,-100,21.28,16.53,24.08,0.5,5.58,25.19,0.56,6.69,0.5,-100,0.5,-100,0.56,56,YELLOW (Medium),-127,Over,Over (Lean agreement),0.1192,0.0596,70,2025-12-03T04:10:00.000Z
254,Jimmy Butler,GSW,OKC,fs,38.5,PrizePicks,Over,-300,40.36,35.83,43.51,0.75,5.01,43.14,0.78,4.64,0.75,-300,0.25,300,0.508,50.8,RED (Low),-103,Pass,Pass (ML near 50/50),,,65.8,2025-12-03T04:10:00.000Z
175,Isaiah Joe,OKC,GSW,fs,16.5,PrizePicks,No clear edge,N/A,16.57,13.53,19.16,0.67,2.66,17.5,0.67,1,0.667,-200,0.333,200,0.592,59.2,YELLOW (Medium),-145,Over,Over (Lean ML edge),,,65.8,2025-12-03T04:10:00.000Z
432,Saddiq Bey,NOP,MIN,fs,28.5,PrizePicks,Over,-200,29.98,25.31,32.94,0.67,4.44,33.41,0.67,4.91,0.667,-200,0.333,200,0.519,51.9,RED (Low),-108,Pass,Pass (ML near 50/50),,,64.9,2025-12-03T01:10:00.000Z
177,Isaiah Joe,OKC,GSW,pra,13.5,PrizePicks,No clear edge,N/A,13.75,11.03,16,0.58,2.5,14.71,0.56,1.21,0.583,-140,0.417,140,0.274,27.4,RED (Low),266,Under,Under (Strong ML edge),0.5311,0.2656,64.6,2025-12-03T04:10:00.000Z
473,Trey Murphy,NOP,MIN,fs,32.5,PrizePicks,Under,200,31.87,25.12,36.69,0.67,4.19,35.71,0.56,3.21,0.667,-200,0.333,200,0.512,51.2,RED (Low),-105,Pass,Pass (ML near 50/50),,,60.6,2025-12-03T01:10:00.000Z
160,Gradey Dick,TOR,POR,ra,2.5,PrizePicks,Over,-140,3.27,4.06,2.9,0.58,0.4,2.43,0.56,-0.07,0.583,-140,0.417,140,0.487,48.7,RED (Low),105,Pass,Pass (ML near 50/50),,,60.6,2025-12-03T00:40:00.000Z
108,Derik Queen,NOP,MIN,fs,28.5,PrizePicks,Over,-200,30.29,27.54,31.74,0.67,3.24,32.91,0.67,4.41,0.667,-200,0.333,200,0.548,54.8,RED (Low),-121,Pass,Pass (ML near 50/50),,,58.2,2025-12-03T01:10:00.000Z
161,Gradey Dick,TOR,POR,rebounds,1.5,PrizePicks,Over,140,2.12,2.72,1.8,0.42,0.3,1.57,0.44,0.07,0.417,140,0.583,-140,0.29,29,RED (Low),244,Pass,Pass (Hist Over vs ML Under),,,57,2025-12-03T00:40:00.000Z
372,Mitchell Robinson,NYK,BOS,fs,17.5,PrizePicks,Over,-140,21.7,25.49,19.85,0.58,2.35,17.83,0.56,0.33,0.583,-140,0.417,140,0.576,57.6,YELLOW (Medium),-136,Over,Over (Lean agreement),,,56.5,2025-12-03T01:10:00.000Z
491,Vince Williams,MEM,SAS,fs,26.5,PrizePicks,Under,200,25.66,19.46,29.03,0.67,2.53,31.31,0.78,4.81,0.667,-200,0.333,200,0.568,56.8,YELLOW (Medium),-132,Pass,Pass (Disagree: Hist Under vs ML Over),,,55.3,2025-12-03T01:10:00.000Z
204,Jalen Williams,OKC,GSW,fs,35,PrizePicks,Over,-200,37.14,34.16,38.01,0.67,3.01,41.34,0.78,6.34,0.667,-200,0.333,200,0.536,53.6,RED (Low),-115,Pass,Pass (ML near 50/50),,,53.8,2025-12-03T04:10:00.000Z
384,Naz Reid,MIN,NOP,fs,27.5,PrizePicks,No clear edge,N/A,27.51,23.05,30.73,0.58,3.23,29.96,0.56,2.46,0.583,-140,0.417,140,0.554,55.4,YELLOW (Medium),-124,Over,Over (Lean ML edge),,,53.8,2025-12-03T01:10:00.000Z
226,Jaylen Brown,BOS,NYK,fs,43,PrizePicks,No clear edge,N/A,42.57,31.77,47.98,0.58,4.98,53.34,0.78,10.34,0.583,-140,0.417,140,0.486,48.6,RED (Low),106,Pass,Pass (ML near 50/50),,,53.5,2025-12-03T01:10:00.000Z
192,Jakob Poeltl,TOR,POR,fs,28.5,PrizePicks,No clear edge,N/A,28.67,24.61,31.8,0.58,3.3,30.51,0.44,2.01,0.583,-140,0.417,140,0.534,53.4,RED (Low),-114,Pass,Pass (ML near 50/50),,,53.5,2025-12-03T00:40:00.000Z
19,Anfernee Simons,BOS,NYK,fs,19.5,PrizePicks,Over,-200,21.47,23.07,21.03,0.67,1.53,19.14,0.56,-0.36,0.667,-200,0.333,200,0.593,59.3,YELLOW (Medium),-146,Over,Over (Lean agreement),,,52.6,2025-12-03T01:10:00.000Z
13,Andre Drummond,PHI,WAS,fs,25,PrizePicks,Over,-140,29.93,34.48,27.75,0.58,2.75,25.19,0.44,0.19,0.583,-140,0.417,140,0.554,55.4,YELLOW (Medium),-124,Over,Over (Lean agreement),,,52.6,2025-12-03T00:10:00.000Z
61,CJ McCollum,WAS,PHI,fs,30,PrizePicks,Over,140,33.43,31.73,35.17,0.42,5.17,33.34,0.33,3.34,0.417,140,0.583,-140,0.501,50.1,RED (Low),-100,Pass,Pass (ML near 50/50),,,52.6,2025-12-03T00:10:00.000Z
284,Josh Hart,NYK,BOS,fs,35.5,PrizePicks,Under,200,34.12,26.39,38.1,0.67,2.6,41.63,0.78,6.13,0.667,-200,0.333,200,0.526,52.6,RED (Low),-111,Pass,Pass (ML near 50/50),,,51.7,2025-12-03T01:10:00.000Z
232,Jaylen Wells,MEM,SAS,fs,20.5,PrizePicks,Over,-100,21.68,18.46,23.21,0.5,2.71,25.04,0.56,4.54,0.5,-100,0.5,-100,0.579,57.9,YELLOW (Medium),-137,Over,Over (Lean agreement),0.1577,0.0788,51.2,2025-12-03T01:10:00.000Z
320,Keldon Johnson,SAS,MEM,fs,25.5,PrizePicks,Over,-140,27.9,26.7,27.68,0.58,2.18,30.73,0.78,5.23,0.583,-140,0.417,140,0.568,56.8,YELLOW (Medium),-132,Over,Over (Lean agreement),,,48.7,2025-12-03T01:10:00.000Z
114,Derrick White,BOS,NYK,fs,36.5,PrizePicks,Under,200,33.98,27.7,38.41,0.67,1.91,37.66,0.56,1.16,0.667,-200,0.333,200,0.521,52.1,RED (Low),-109,Pass,Pass (ML near 50/50),,,48.4,2025-12-03T01:10:00.000Z
396,Paul George,PHI,WAS,fs,31.5,PrizePicks,Over,-140,34.95,37.38,34.12,0.58,2.62,31.76,0.44,0.26,0.583,-140,0.417,140,0.514,51.4,RED (Low),-106,Pass,Pass (ML near 50/50),,,48.3,2025-12-03T00:10:00.000Z
485,VJ Edgecombe,PHI,WAS,fs,26.5,PrizePicks,Over,-140,29.29,31.43,27.89,0.58,1.39,27.79,0.56,1.29,0.583,-140,0.417,140,0.559,55.9,YELLOW (Medium),-127,Over,Over (Lean agreement),,,43.4,2025-12-03T00:10:00.000Z
131,Donovan Clingan,POR,TOR,ra,12,PrizePicks,No clear edge,N/A,11.98,9.6,13,0.5,1,14.71,0.67,2.71,0.5,-100,0.5,-100,0.501,50.1,RED (Low),-100,Pass,Pass (ML near 50/50),,,43.3,2025-12-03T00:40:00.000Z
146,Dylan Harper,SAS,MEM,fs,21.5,PrizePicks,Over,120,23.74,23.6,23.6,0.45,2.1,24.3,0.44,2.8,0.455,120,0.545,-120,0.561,56.1,YELLOW (Medium),-128,Over,Over (Lean agreement),0.1943,0.0972,42.9,2025-12-03T01:10:00.000Z
248,Jeremiah Fears,NOP,MIN,fs,25.5,PrizePicks,Over,140,27.22,26.2,28.31,0.42,2.81,27.09,0.44,1.59,0.417,140,0.583,-140,0.564,56.4,YELLOW (Medium),-130,Over,Over (Lean agreement),0.2533,0.1266,42.6,2025-12-03T01:10:00.000Z
78,Cason Wallace,OKC,GSW,fs,18,PrizePicks,Over,-140,19.1,18.89,18.8,0.58,0.8,20.13,0.67,2.13,0.583,-140,0.417,140,0.607,60.7,YELLOW (Medium),-155,Over,Over (Lean agreement),0.0575,0.0287,42.1,2025-12-03T04:10:00.000Z
128,Donovan Clingan,POR,TOR,fs,30.5,PrizePicks,No clear edge,N/A,30.72,24.72,32.77,0.5,2.27,38.61,0.67,8.11,0.5,-100,0.5,-100,0.529,52.9,RED (Low),-112,Pass,Pass (ML near 50/50),,,41.9,2025-12-03T00:40:00.000Z
67,Cam Spencer,MEM,SAS,fs,20.5,PrizePicks,Under,140,18.59,13.49,21.28,0.58,0.78,23.4,0.67,2.9,0.583,-140,0.417,140,0.554,55.4,YELLOW (Medium),-124,Pass,Pass (Disagree: Hist Under vs ML Over),,,41.1,2025-12-03T01:10:00.000Z
444,Sandro Mamukelashvili,TOR,POR,fs,20.5,PrizePicks,Under,-100,18.16,12.28,21.91,0.5,1.41,22.43,0.56,1.93,0.5,-100,0.5,-100,0.535,53.5,RED (Low),-115,Pass,Pass (ML near 50/50),,,41,2025-12-03T00:40:00.000Z
120,Devin Vassell,SAS,MEM,fs,29.5,PrizePicks,Under,200,28.76,26,28.83,0.67,-0.67,34.14,0.89,4.64,0.667,-200,0.333,200,0.554,55.4,YELLOW (Medium),-124,Pass,Pass (Disagree: Hist Under vs ML Over),,,40,2025-12-03T01:10:00.000Z
7,Ajay Mitchell,OKC,GSW,fs,26.5,PrizePicks,Under,200,22.16,18.88,24.93,0.67,-1.57,23.2,0.56,-3.3,0.667,-200,0.333,200,0.548,54.8,RED (Low),-121,Pass,Pass (ML near 50/50),,,40,2025-12-03T04:10:00.000Z
426,S. Gilgeous-Alexander,OKC,GSW,fs,51.5,PrizePicks,Under,140,48.61,42.74,52.98,0.58,1.48,51.64,0.44,0.14,0.583,-140,0.417,140,0.51,51,RED (Low),-104,Pass,Pass (ML near 50/50),,,39.6,2025-12-03T04:10:00.000Z
3,Aaron Wiggins,OKC,GSW,pra,17.5,PrizePicks,No clear edge,N/A,17.06,13.32,19.6,0.33,2.1,19.43,0.33,1.93,0.333,200,0.667,-200,0.259,25.9,RED (Low),287,Under,Under (Strong ML edge),0.2239,0.112,39.2,2025-12-03T04:10:00.000Z
378,Moses Moody,GSW,OKC,fs,21.5,PrizePicks,Under,-100,19.51,13.46,22.66,0.5,1.16,25.34,0.56,3.84,0.5,-100,0.5,-100,0.535,53.5,RED (Low),-115,Pass,Pass (ML near 50/50),,,38.6,2025-12-03T04:10:00.000Z
210,Jamal Shead,TOR,POR,fs,18.5,PrizePicks,No clear edge,N/A,18.05,16.72,18.83,0.58,0.33,19.14,0.56,0.64,0.583,-140,0.417,140,0.59,59,YELLOW (Medium),-144,Over,Over (Lean ML edge),0.0165,0.0082,37.9,2025-12-03T00:40:00.000Z
140,Draymond Green,GSW,OKC,fs,25.5,PrizePicks,Over,-140,28.31,30.08,25.84,0.58,0.34,29.7,0.67,4.2,0.583,-140,0.417,140,0.557,55.7,YELLOW (Medium),-126,Over,Over (Lean agreement),,,37.1,2025-12-03T04:10:00.000Z
25,Anthony Edwards,MIN,NOP,fs,45.5,PrizePicks,Under,-100,44.04,39.6,47.53,0.5,2.03,45.96,0.44,0.46,0.5,-100,0.5,-100,0.519,51.9,RED (Low),-108,Pass,Pass (ML near 50/50),,,37.1,2025-12-03T01:10:00.000Z
314,Karl-Anthony Towns,NYK,BOS,fs,41.5,PrizePicks,Over,-100,42.93,44.36,43.11,0.5,1.61,39.7,0.44,-1.8,0.5,-100,0.5,-100,0.498,49.8,RED (Low),101,Pass,Pass (ML near 50/50),,,36.2,2025-12-03T01:10:00.000Z
402,Payton Pritchard,BOS,NYK,fs,30.5,PrizePicks,Under,-100,26.74,18.05,31.61,0.5,1.11,34.4,0.56,3.9,0.5,-100,0.5,-100,0.519,51.9,RED (Low),-108,Pass,Pass (ML near 50/50),,,35.8,2025-12-03T01:10:00.000Z
198,Jalen Brunson,NYK,BOS,fs,41.5,PrizePicks,Under,140,36.91,30.57,40.91,0.58,-0.59,41.6,0.56,0.1,0.583,-140,0.417,140,0.499,49.9,RED (Low),100,Pass,Pass (ML near 50/50),,,35,2025-12-03T01:10:00.000Z
467,Toumani Camara,POR,TOR,fs,26,PrizePicks,Under,140,24.45,23.02,25.27,0.58,-0.73,25.64,0.56,-0.36,0.583,-140,0.417,140,0.546,54.6,RED (Low),-120,Pass,Pass (ML near 50/50),,,35,2025-12-03T00:40:00.000Z
400,Paul George,PHI,WAS,rebounds,6.5,PrizePicks,Under,140,5.86,6.25,5.6,0.58,-0.9,5.57,0.56,-0.93,0.583,-140,0.417,140,0.341,34.1,RED (Low),193,Under,Under (Strong agreement),0.4154,0.2077,35,2025-12-03T00:10:00.000Z
31,Bilal Coulibaly,WAS,PHI,fs,23.5,PrizePicks,Under,140,22.81,23.33,22.1,0.58,-1.4,23.19,0.56,-0.31,0.583,-140,0.417,140,0.555,55.5,YELLOW (Medium),-125,Pass,Pass (Disagree: Hist Under vs ML Over),,,35,2025-12-03T00:10:00.000Z
434,Saddiq Bey,NOP,MIN,pra,28.5,PrizePicks,Under,140,24.08,21.16,26.1,0.58,-2.4,25.86,0.67,-2.64,0.583,-140,0.417,140,0.286,28.6,RED (Low),250,Under,Under (Strong agreement),0.5096,0.2548,35,2025-12-03T01:10:00.000Z
266,Jordan Clarkson,NYK,BOS,fs,17.5,PrizePicks,Over,-100,20.63,25.19,18,0.5,0.5,16.74,0.44,-0.76,0.5,-100,0.5,-100,0.572,57.2,YELLOW (Medium),-134,Over,Over (Lean agreement),0.1445,0.0723,34.6,2025-12-03T01:10:00.000Z
360,Mike Conley,MIN,NOP,fs,12.5,PrizePicks,Over,-100,19.14,28.69,12.52,0.5,0.02,13.27,0.56,0.77,0.5,-100,0.5,-100,0.537,53.7,RED (Low),-116,Pass,Pass (ML near 50/50),,,30.3,2025-12-03T01:10:00.000Z
302,Julius Randle,MIN,NOP,fs,40.5,PrizePicks,Under,-100,37.95,36.35,40.43,0.5,-0.07,36.19,0.33,-4.31,0.5,-100,0.5,-100,0.514,51.4,RED (Low),-106,Pass,Pass (ML near 50/50),,,30,2025-12-03T01:10:00.000Z
102,Deni Avdija,POR,TOR,fs,44.5,PrizePicks,Under,-100,37.35,25.97,44.36,0.5,-0.14,46.1,0.56,1.6,0.5,-100,0.5,-100,0.487,48.7,RED (Low),106,Pass,Pass (ML near 50/50),,,30,2025-12-03T00:40:00.000Z
186,Jaden McDaniels,MIN,NOP,fs,27.5,PrizePicks,Under,-100,25.12,22.13,27.32,0.5,-0.18,26.67,0.44,-0.83,0.5,-100,0.5,-100,0.569,56.9,YELLOW (Medium),-132,Pass,Pass (Disagree: Hist Under vs ML Over),,,30,2025-12-03T01:10:00.000Z
464,Shaedon Sharpe,POR,TOR,ra,7.5,PrizePicks,Under,-100,6.69,6.07,7.3,0.5,-0.2,6.71,0.44,-0.79,0.5,-100,0.5,-100,0.523,52.3,RED (Low),-110,Pass,Pass (ML near 50/50),,,30,2025-12-03T00:40:00.000Z
205,Jalen Williams,OKC,GSW,points,22.5,PrizePicks,Under,-100,20.51,18.1,21.9,0.5,-0.6,22.57,0.56,0.07,0.5,-100,0.5,-100,0.28,28,RED (Low),257,Under,Under (Strong agreement),0.4404,0.2202,30,2025-12-03T04:10:00.000Z
435,Saddiq Bey,NOP,MIN,ra,11.5,PrizePicks,Under,-100,9.4,7.16,10.9,0.5,-0.6,10.86,0.56,-0.64,0.5,-100,0.5,-100,0.508,50.8,RED (Low),-103,Pass,Pass (ML near 50/50),,,30,2025-12-03T01:10:00.000Z
134,Donte DiVincenzo,MIN,NOP,fs,27.5,PrizePicks,Under,-100,25.44,23.34,26.62,0.5,-0.88,27.26,0.56,-0.24,0.5,-100,0.5,-100,0.544,54.4,RED (Low),-119,Pass,Pass (ML near 50/50),,,30,2025-12-03T01:10:00.000Z
37,Brandin Podziemski,GSW,OKC,fs,26.5,PrizePicks,Under,-100,25.09,24.62,25.33,0.5,-1.17,25.53,0.56,-0.97,0.5,-100,0.5,-100,0.543,54.3,RED (Low),-119,Pass,Pass (ML near 50/50),,,30,2025-12-03T04:10:00.000Z
169,Immanuel Quickley,TOR,POR,fs,34.5,PrizePicks,Under,-100,30.37,25.46,33.33,0.5,-1.17,34.29,0.56,-0.21,0.5,-100,0.5,-100,0.513,51.3,RED (Low),-105,Pass,Pass (ML near 50/50),,,30,2025-12-03T00:40:00.000Z
420,Rudy Gobert,MIN,NOP,fs,30.5,PrizePicks,Over,-100,31.82,35.24,29.06,0.5,-1.44,30.49,0.56,-0.01,0.5,-100,0.5,-100,0.546,54.6,RED (Low),-120,Pass,Pass (ML near 50/50),,,30,2025-12-03T01:10:00.000Z
328,Khris Middleton,WAS,PHI,fs,23.5,PrizePicks,Over,-100,25.75,30.11,21.85,0.5,-1.65,24.84,0.67,1.34,0.5,-100,0.5,-100,0.546,54.6,RED (Low),-120,Pass,Pass (ML near 50/50),,,30,2025-12-03T00:10:00.000Z
14,Andre Drummond,PHI,WAS,points,11.5,PrizePicks,Under,-100,10.31,12.4,9.6,0.5,-1.9,7.57,0.33,-3.93,0.5,-100,0.5,-100,0.331,33.1,RED (Low),202,Under,Under (Strong agreement),0.3379,0.169,30,2025-12-03T00:10:00.000Z
181,Ja'Kobe Walter,TOR,POR,fs,17.5,PrizePicks,Under,-100,16.12,15.37,15.54,0.5,-1.96,18.8,0.67,1.3,0.5,-100,0.5,-100,0.526,52.6,RED (Low),-111,Pass,Pass (ML near 50/50),,,30,2025-12-03T00:40:00.000Z
90,Chet Holmgren,OKC,GSW,fs,35.5,PrizePicks,Under,-100,34.55,36.12,33.52,0.5,-1.98,33.47,0.44,-2.03,0.5,-100,0.5,-100,0.492,49.2,RED (Low),103,Pass,Pass (ML near 50/50),,,30,2025-12-03T04:10:00.000Z
20,Anfernee Simons,BOS,NYK,points,15.5,PrizePicks,Under,-100,13.72,14.94,13.3,0.5,-2.2,12.14,0.44,-3.36,0.5,-100,0.5,-100,0.292,29.2,RED (Low),243,Under,Under (Strong agreement),0.4168,0.2084,30,2025-12-03T01:10:00.000Z
15,Andre Drummond,PHI,WAS,pra,24.5,PrizePicks,Under,-100,22.86,25.72,21.8,0.5,-2.7,19.29,0.33,-5.21,0.5,-100,0.5,-100,0.264,26.4,RED (Low),279,Under,Under (Strong agreement),0.4726,0.2363,30,2025-12-03T00:10:00.000Z
125,Dominick Barlow,PHI,WAS,pra,18.5,PrizePicks,Under,-100,12.79,8.85,15.7,0.5,-2.8,14.86,0.44,-3.64,0.5,-100,0.5,-100,0.29,29,RED (Low),245,Under,Under (Strong agreement),0.4208,0.2104,30,2025-12-03T00:10:00.000Z
404,Payton Pritchard,BOS,NYK,pra,31.5,PrizePicks,Under,-100,23.22,15.04,27.8,0.5,-3.7,30.43,0.56,-1.07,0.5,-100,0.5,-100,0.279,27.9,RED (Low),259,Under,Under (Strong agreement),0.4426,0.2213,30,2025-12-03T01:10:00.000Z
74,Cam Whitmore,WAS,PHI,pra,20.5,PrizePicks,Under,-100,15.55,14.7,16.6,0.5,-3.9,15.14,0.44,-5.36,0.5,-100,0.5,-100,0.218,21.8,RED (Low),359,Under,Under (Strong agreement),0.564,0.282,30,2025-12-03T00:10:00.000Z
455,Scottie Barnes,TOR,POR,fs,42.5,PrizePicks,Under,-200,41.59,38.25,44.52,0.33,2.02,42.4,0.33,-0.1,0.333,200,0.667,-200,0.513,51.3,RED (Low),-105,Pass,Pass (ML near 50/50),,,27.6,2025-12-03T00:40:00.000Z
163,Harrison Barnes,SAS,MEM,fs,23.5,PrizePicks,No clear edge,N/A,23.83,23.67,23.29,0.42,-0.21,25.23,0.56,1.73,0.417,140,0.583,-140,0.548,54.8,RED (Low),-121,Pass,Pass (ML near 50/50),,,25,2025-12-03T01:10:00.000Z
438,Sam Hauser,BOS,NYK,fs,14.5,PrizePicks,No clear edge,N/A,14.44,13.94,14.18,0.42,-0.32,15.96,0.56,1.46,0.417,140,0.583,-140,0.539,53.9,RED (Low),-117,Pass,Pass (ML near 50/50),,,25,2025-12-03T01:10:00.000Z
515,Zion Williamson,NOP,MIN,fs,38.5,PrizePicks,No clear edge,N/A,38.82,41.07,38.02,0.42,-0.48,35.91,0.33,-2.59,0.417,140,0.583,-140,0.484,48.4,RED (Low),107,Pass,Pass (ML near 50/50),,,25,2025-12-03T01:10:00.000Z
96,De'Aaron Fox,SAS,MEM,fs,41.5,PrizePicks,Under,-140,40.49,38.22,40.9,0.42,-0.6,44.2,0.44,2.7,0.417,140,0.583,-140,0.508,50.8,RED (Low),-103,Pass,Pass (ML near 50/50),,,25,2025-12-03T01:10:00.000Z
4,Aaron Wiggins,OKC,GSW,ra,6.5,PrizePicks,Under,-140,5.29,4.56,5.8,0.42,-0.7,5.71,0.33,-0.79,0.417,140,0.583,-140,0.526,52.6,RED (Low),-111,Pass,Pass (ML near 50/50),,,25,2025-12-03T04:10:00.000Z
263,Jonathan Kuminga,GSW,OKC,ra,8.5,PrizePicks,Under,-140,7.02,5.95,7.8,0.42,-0.7,7.57,0.44,-0.93,0.417,140,0.583,-140,0.526,52.6,RED (Low),-111,Pass,Pass (ML near 50/50),,,25,2025-12-03T04:10:00.000Z
436,Saddiq Bey,NOP,MIN,rebounds,8.5,PrizePicks,Under,-140,6.83,5.29,7.7,0.42,-0.8,8.14,0.56,-0.36,0.417,140,0.583,-140,0.283,28.3,RED (Low),254,Under,Under (Strong agreement),0.3214,0.1607,25,2025-12-03T01:10:00.000Z
488,VJ Edgecombe,PHI,WAS,ra,10.5,PrizePicks,Under,-140,9.6,9.81,9.7,0.42,-0.8,9,0.33,-1.5,0.417,140,0.583,-140,0.472,47.2,RED (Low),112,Pass,Pass (ML near 50/50),,,25,2025-12-03T00:10:00.000Z
366,Miles McBride,NYK,BOS,fs,21,PrizePicks,Under,-140,18.11,13.31,20.13,0.42,-0.87,23.64,0.56,2.64,0.417,140,0.583,-140,0.511,51.1,RED (Low),-104,Pass,Pass (ML near 50/50),,,25,2025-12-03T01:10:00.000Z
414,Quinten Post,GSW,OKC,fs,17.5,PrizePicks,No clear edge,N/A,17.08,15.99,16.62,0.42,-0.88,20.17,0.56,2.67,0.417,140,0.583,-140,0.525,52.5,RED (Low),-110,Pass,Pass (ML near 50/50),,,25,2025-12-03T04:10:00.000Z
497,Will Richard,GSW,OKC,fs,14.5,PrizePicks,No clear edge,N/A,14.54,15.83,13.61,0.42,-0.89,13.81,0.44,-0.69,0.417,140,0.583,-140,0.533,53.3,RED (Low),-114,Pass,Pass (ML near 50/50),,,25,2025-12-03T04:10:00.000Z
237,Jaylin Williams,OKC,GSW,assists,3.5,PrizePicks,Under,-140,2.19,1.9,2.5,0.42,-1,2.14,0.33,-1.36,0.417,140,0.583,-140,0.191,19.1,RED (Low),424,Under,Under (Strong agreement),0.5418,0.2709,25,2025-12-03T04:10:00.000Z
264,Jonathan Kuminga,GSW,OKC,rebounds,6.5,PrizePicks,Under,-140,4.91,4.13,5.5,0.42,-1,5.29,0.44,-1.21,0.417,140,0.583,-140,0.291,29.1,RED (Low),243,Under,Under (Strong agreement),0.3005,0.1503,25,2025-12-03T04:10:00.000Z
290,Josh Minott,BOS,NYK,fs,13.5,PrizePicks,Under,-140,10.6,7.49,12.43,0.42,-1.07,13.17,0.44,-0.33,0.417,140,0.583,-140,0.492,49.2,RED (Low),103,Pass,Pass (ML near 50/50),,,25,2025-12-03T01:10:00.000Z
23,Anfernee Simons,BOS,NYK,rebounds,3.5,PrizePicks,Under,-140,2.38,2.49,2.4,0.42,-1.1,2.14,0.33,-1.36,0.417,140,0.583,-140,0.229,22.9,RED (Low),336,Under,Under (Strong agreement),0.45,0.225,25,2025-12-03T01:10:00.000Z
375,Mitchell Robinson,NYK,BOS,ra,10.5,PrizePicks,Under,-140,8.93,8.49,9.2,0.42,-1.3,9.29,0.44,-1.21,0.417,140,0.583,-140,0.473,47.3,RED (Low),111,Pass,Pass (ML near 50/50),,,25,2025-12-03T01:10:00.000Z
296,Julian Champagnie,SAS,MEM,fs,23.5,PrizePicks,Under,-140,21.19,17.71,22.17,0.42,-1.33,26.19,0.56,2.69,0.417,140,0.583,-140,0.525,52.5,RED (Low),-111,Pass,Pass (ML near 50/50),,,25,2025-12-03T01:10:00.000Z
